ИдентификаторЛота;Идентификатор;Организатор;Тендер;СуммаЛота;ОписаниеТендера;Лот;Адрес поставки;АдресОрганизатора;Главный орган;IDOrganizator;Заклад-замовник;Назва закладу
UA-2019-05-02-000758-b-L1;UA-2019-05-02-000758-b;Управління освіти і науки Ірпінської міської ради;капітальний ремонт покрівлі приміщення ДНЗ№9 «Ластівка» за адресою: вул. Доківська, 18 в смт.Коцюбинське. Київської обл.;350000;капітальний ремонт покрівлі приміщення ДНЗ№9 «Ластівка» за адресою: вул. Доківська, 18 в смт.Коцюбинське. Київської обл.;капітальний ремонт покрівлі приміщення ДНЗ№9 «Ластівка» за адресою: вул. Доківська, 18 в смт.Коцюбинське. Київської обл.;Доківська, 18;Шевченка, 3-а;Виконавчий комітет ірпінської міської ради;2143815;False;ДНЗ №9
UA-2020-12-28-005423-a-L1;UA-2020-12-28-005423-a;Управління освіти Бахмутської міської ради;Послуги з харчування для закладів освіти (Послуги з гарячого харчування Бахмутської загальноосвітньої школи І-ІІІ ступенів № 7 Бахмутської міської ради Донецької області ) ДК 021:2015 55510000-8 Послуги їдалень;577040;Під час проведення процедур закупівель усі документи, що готуються замовником, викладаються українською мовою. Під час проведення процедури закупівлі усі документи, що мають відношення до тендерної пропозиції та складаються безпосередньо учасником, викладаються українською мовою.;Послуги з харчування для закладів освіти (Послуги з гарячого харчування Бахмутської загальноосвітньої школи І-ІІІ ступенів № 7 Бахмутської міської ради Донецької області ) ДК 021:2015 55510000-8 Послуги їдалень;вул. Ковальська, 121;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Загальноосвітня школа № 7
UA-2020-12-24-002881-c-L1;UA-2020-12-24-002881-c;Управління освіти Бахмутської міської ради;Поточний ремонт мережі водопостачання загальноосвітньої школи № 2 по вул. Корсунського,65 м. Бахмут, Донецької області;18830.84;інформація про технічні та якісні характеристики вказана в договорі;Поточний ремонт мережі водопостачання загальноосвітньої школи № 2 по вул. Корсунського,65 м. Бахмут, Донецької області;вул. Корсунського,65;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Загальноосвітня школа № 2
UA-2020-12-22-016778-c-L1;UA-2020-12-22-016778-c;Управління освіти Бахмутської міської ради;проведення поточної технічної інвентаризації об'єкту нерухомого майна за адресою: смт. Красна Гора,вул. Миру,2 (Красногірський НВК № 46);987.38;інформація про технічні та якісні характеристики вказана в договорі;проведення поточної технічної інвентаризації об'єкту нерухомого майна за адресою: смт. Красна Гора,вул. Миру,2 (Красногірський НВК № 46);вул. Миру, 2, смт Красна Гора;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Навчально-виховний комплекс (об'єднання) № 46
UA-2020-12-17-001115-c-L1;UA-2020-12-17-001115-c;Управління освіти Бахмутської міської ради;"послуги з монтажу та налаштування локальної мережі в Бахмутському НВК ""Загальноосвітня школа І-ІІІ ступенів № 11- багатопрофільний ліцей"" за адресою: м. Бахмут, вул. Миру, 22";40283;інформація про тхнічні та якісні характеристики вказана в договорі;"послуги з монтажу та налаштування локальної мережі в Бахмутському НВК ""Загальноосвітня школа І-ІІІ ступенів № 11- багатопрофільний ліцей"" за адресою: м. Бахмут, вул. Миру, 22";вул. Миру, 22;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Навчально-виховний комплекс (об'єднання) № 11
UA-2020-11-30-006044-b-L1;UA-2020-11-30-006044-b;Управління освіти Бахмутської міської ради;ДК 021:2015: 45420000 -7 Столярні та теслярні роботи  «Поточний ремонт внутрішніх дверних блоків дошкільного навчального закладу  комбінованого типу, ясла –садок № 40 «Посмішка», розташованого за адресою: Донецька область, м. Бахмут, вул. Чайковського,99»;199995;;ДК 021:2015: 45420000 -7 Столярні та теслярні роботи  «Поточний ремонт внутрішніх дверних блоків дошкільного навчального закладу  комбінованого типу, ясла –садок № 40 «Посмішка», розташованого за адресою: Донецька область, м. Бахмут, вул. Чайковського,99»;вул. Чайковського,99;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;ДНЗ № 40
UA-2020-11-27-006107-b-L1;UA-2020-11-27-006107-b;Управління освіти Бахмутської міської ради;Здійснення технічного нагляду за будівництвом об'єкта: «Реконструкція будівлі Бахмутського навчально-виховного комплексу «Загальноосвітня школа І-ІІІ ступенів №11-багатопрофільний ліцей» Бахмутської міської ради Донецької області, розташованого за адресою: м. Бахмут, вул. Миру, 22 (коригування)»;548493.47;Закупівля за кошти Європейського Інвестиційного Банку. Вибір консультантів для надання послуг технічного нагляду здійснений у відповідності до вимог Посібник із закупівель для проектів, що фінансуються ЄІБ (зокрема, Розділ 4. Консультаційні послуги, що фінансуються Банком, Підрозділ 4.2 Проекти, розташовані за межами Євросоюзу та Додаток 2. Особливий випадок контрактів для консультаційних послуг).;Здійснення технічного нагляду за будівництвом об'єкта: «Реконструкція будівлі Бахмутського навчально-виховного комплексу «Загальноосвітня школа І-ІІІ ступенів №11-багатопрофільний ліцей» Бахмутської міської ради Донецької області, розташованого за адресою: м. Бахмут, вул. Миру, 22 (коригування)»;вул. Миру, 22;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Навчально-виховний комплекс (об'єднання) №11
UA-2020-11-27-007485-b-L1;UA-2020-11-27-007485-b;Управління освіти Бахмутської міської ради;Здійснення технічного нагляду за будівництвом об'єкта:«Реконструкція будівлі Бахмутської загальноосвітньої школи І-ІІІ ступенів № 12 Бахмутської міської ради Донецької області, розташованої за адресою: м. Бахмут, вул. Леваневського, 111» (коригування);355706.4;Закупівля за кошти Європейського Інвестиційного Банку. Вибір консультантів для надання послуг технічного нагляду здійснений у відповідності до вимог Посібник із закупівель для проектів, що фінансуються ЄІБ (зокрема, Розділ 4. Консультаційні послуги, що фінансуються Банком, Підрозділ 4.2 Проекти, розташовані за межами Євросоюзу та Додаток 2. Особливий випадок контрактів для консультаційних послуг).;Здійснення технічного нагляду за будівництвом об'єкта:«Реконструкція будівлі Бахмутської загальноосвітньої школи І-ІІІ ступенів № 12 Бахмутської міської ради Донецької області, розташованої за адресою: м. Бахмут, вул. Леваневського, 111» (коригування);вул. Леваневського, 111;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Загальноосвітня школа № 12
UA-2020-11-26-008177-b-L1;UA-2020-11-26-008177-b;Управління освіти Бахмутської міської ради;"Здійснення технічного нагляду за об'єктом ""Капітальний ремонт благоустрою будівлі дошкільного навчального закладу №40 ""Посмішка"", розташованого за адресою: Донецька область, м. Бахмут, вул. Чайковського,99""(коригування), у відповідності з ДСТУ Б. Д.1.1-1:2013 «Правила визначення вартості будівництва».";7834.42;інформація про технічні та якісні характеристики вказана в Договорі на роботи;"Здійснення технічного нагляду за об'єктом ""Капітальний ремонт благоустрою будівлі дошкільного навчального закладу №40 ""Посмішка"", розташованого за адресою: Донецька область, м. Бахмут, вул. Чайковського,99""(коригування), у відповідності з ДСТУ Б. Д.1.1-1:2013 «Правила визначення вартості будівництва».";вул. Чайковського,99;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;ДНЗ №40
UA-2020-11-13-014103-c-L1;UA-2020-11-13-014103-c;Управління освіти Бахмутської міської ради;ДК 021:2015 45450000-6 Інші завершальні роботи «Капітальний ремонт благоустрою території будівлі дошкільного навчального закладу № 40 «Посмішка», розташованого за адресою: Донецька область, м. Бахмут, вул. Чайковського,99» (коригування);665331;;ДК 021:2015 45450000-6 Інші завершальні роботи «Капітальний ремонт благоустрою території будівлі дошкільного навчального закладу № 40 «Посмішка», розташованого за адресою: Донецька область, м. Бахмут, вул. Чайковського,99» (коригування);вул. Чайковського,99;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;ДНЗ № 40
UA-2020-10-08-008596-a-L1;UA-2020-10-08-008596-a;Управління освіти Бахмутської міської ради;«Реконструкція будівлі Бахмутського навчально-виховного комплексу «Загальноосвітня школа І-ІІІ ступенів №11-багатопрофільний ліцей» Бахмутської міської ради Донецької області, розташованого за адресою: м. Бахмут, вул. Миру, 22 (коригування)»;51022522;Джерелами фінансування робіт за цим договором є субвенція з державного бюджету місцевим бюджетам на реалізацію проектів у рамках «Надзвичайної кредитної програми для відновлення України» та/або кошти місцевих бюджетів.;«Реконструкція будівлі Бахмутського навчально-виховного комплексу «Загальноосвітня школа І-ІІІ ступенів №11-багатопрофільний ліцей» Бахмутської міської ради Донецької області, розташованого за адресою: м. Бахмут, вул. Миру, 22 (коригування)»;вул. Миру, 22;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Навчально-виховний комплекс (об'єднання) №11
UA-2020-10-08-007721-a-L1;UA-2020-10-08-007721-a;Управління освіти Бахмутської міської ради;«Реконструкція будівлі Бахмутської загальноосвітньої школи І-ІІІ ступенів № 12 Бахмутської міської ради Донецької області, розташованої за адресою: м. Бахмут, вул. Леваневського, 111» (коригування);37344267.8;Джерелами фінансування робіт за цим договором є субвенція з державного бюджету місцевим бюджетам на реалізацію проектів у рамках «Надзвичайної кредитної програми для відновлення України» та/або кошти місцевих бюджетів;«Реконструкція будівлі Бахмутської загальноосвітньої школи І-ІІІ ступенів № 12 Бахмутської міської ради Донецької області, розташованої за адресою: м. Бахмут, вул. Леваневського, 111» (коригування);вул. Леваневського, 111;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Загальноосвітня школа № 12
UA-2020-11-11-009533-a-L1;UA-2020-11-11-009533-a;Управління освіти Бахмутської міської ради;Поточний ремонт зовнішніх дверних блоків і укосів Бахмутської загальноосвітньої школи І-ІІ ступенів № 3 Бахмутської міської ради Донецької області, розташованої за адресою: Донецька область, м.Бахмут, вул. Чаплина,1;41920;Роботи проводяться засобами та з матеріалів Виконавця. На всі види робіт Виконавцем встановлений гарантійний термін 1 рік.;Поточний ремонт зовнішніх дверних блоків і укосів Бахмутської загальноосвітньої школи І-ІІ ступенів № 3 Бахмутської міської ради Донецької області, розташованої за адресою: Донецька область, м.Бахмут, вул. Чаплина,1;вул. Чаплина,1;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Загальноосвітня школа № 3
UA-2020-10-09-005835-b-L1;UA-2020-10-09-005835-b;Управління освіти Бахмутської міської ради;Розробка проектно - кошторисної документації по об'єкту«Реконструкція будівлі Бахмутської загальноосвітньої школи I-III ступенів №24 Бахмутської міської ради Донецької області, розташованої за адресою: м. Бахмут, вул. Леваневського, 10» (коригування);49900;інформація про технічні та якісні характеристики вказана в Договорі;Розробка проектно - кошторисної документації по об'єкту«Реконструкція будівлі Бахмутської загальноосвітньої школи I-III ступенів №24 Бахмутської міської ради Донецької області, розташованої за адресою: м. Бахмут, вул. Леваневського, 10» (коригування);вул. Леваневського, 10;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Загальноосвітня школа №24
UA-2020-10-07-007870-a-L1;UA-2020-10-07-007870-a;Управління освіти Бахмутської міської ради;"Здійснення технічного нагляду за об'єктом ""Капітальний ремонт вентиляційної системи харчоблоку дошкільного навчального закладу №40 ""Посмішка"", розташованого за адресою: Донецької область, м. Бахмут, вул. Чайковського,99"", у відповідності з ДСТУ Б. Д.1.1-1:2013 «Правила визначення вартості будівництва».";8562.65;інформація про технічні та якісні характеристики вказана в Договорі;"Здійснення технічного нагляду за об'єктом ""Капітальний ремонт вентиляційної системи харчоблоку дошкільного навчального закладу №40 ""Посмішка"", розташованого за адресою: Донецької область, м. Бахмут, вул. Чайковського,99"", у відповідності з ДСТУ Б. Д.1.1-1:2013 «Правила визначення вартості будівництва».";вул. Чайковського,99;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;ДНЗ №40
