;university_name;Назва
3086;"Дошкільний навчальний заклад (ясла-садок) ""Берегиня"" Бориспільської міської ради Київської області";Берегиня
11069;"Дошкільний навчальний заклад (ясла-садок) ""Калинонька""";Калинонька
11735;"Гайворонський дошкільний навчальний заклад № 3 ""Калинка""";Калинка
11737;"Гайворонський дошкільний навчальний заклад № 5 ""Дзвіночок""";Дзвіночок
5068;"Полтавський дошкільний навчальний навчальний заклад (ясла-садок) №35 ""Берізка"" Полтавської міської ради Полтавської області";Берізка
2893;"Дошкільний навчальний заклад №14 ""Ромашка""";Ромашка
794;"Комунальний заклад дошкільної освіти (ясла-садок) №26 ""Росточок""музично-естетичного профілю";Росточок
13385;"Хмельницький дошкільний навчальний заклад №5 ""Соловейко""";Соловейко
1649;"Дочірнє приватне підприємство акціонерного товариства Сумбуд Навчально-виховний комплекс ""Просперітас""";Просперітас
1615;"Сумський дошкільний навчальний заклад (ясла-садок) № 7 ""Попелюшка"" м. Суми, Сумської області";Попелюшка
1701;"Комунальна організація (установа, заклад) Шосткинський дошкільний навчальний заклад (ясла-садок)№8 ""Оленка""Шосткинської міської ради Сумської області";Оленка
12701;"Одеський дошкільний навчальний заклад ""Ясла-садок"" № 160 Одеської міської ради Одеської області";Ясла-садок
3324;"Мазінський заклад дошкільної освіти "" Ягідка"""; Ягідка
3083;"Дошкільний навчальний заклад (ясла-садок) комбінованого типу ""Веселка"" Бориспільсьбкої міської ради Київської області";Веселка
3110;"Бородянський дошкільний навчальний заклад (ясла-садок комбінованого типу ) №14 ""Буратіно""";Буратіно
3153;"ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД (ЯСЛА-САДОК) КОМБІНОВАНОГО ТИПУ ""ЗОЛОТИЙ КЛЮЧИК""";ЗОЛОТИЙ КЛЮЧИК
11350;"Барський дошкільний навчальний заклад №3 ""Зірочка""";Зірочка
1122;"Комунальний заклад ""Навчально-виховний комплекс ""Основа"" Преображенської сільської ради Оріхівського району Запорізької області";Навчально-виховний комплекс 
4590;"Синюхинобрідський дошкільний навчальний заклад ""Малятко"" Синюхинобрідськоі сільської ради Первомайського району Миколаївськоі області";Малятко
4299;"Миролюбівський заклад дошкільної освіти ""Джерельце""";Джерельце
14050;"Ялтушкіський дошкільний заклад ""Світанок""";Світанок
14363;"Комунальний заклад ""Любомирський навчально-виховний комплекс І-ІІ ступенів ""загальноосвітній навчальний заклад - дошкільний навчальний заклад"" Чечельницької районної ради Вінницької області";Любомирський навчально-виховний комплекс І-ІІ ступенів 
8235;"Дошкільний навчальний заклад №6 (ясла-садок) комбінованого типу ""Світлячок"" - Центр розвитку дитини";Світлячок
786;"Комунальний дошкільний навчальний заклад (ясла-садок) №7 ""Барвінок""";Барвінок
10213;"Комунальний навчально-виховний комплекс ""Червоноіванівська загальноосвітня школа І ІІІ ступенів – дошкільний навчальний за-клад""";Червоноіванівська загальноосвітня школа І ІІІ ступенів – дошкільний навчальний за-клад
2523;"Заклад дошкільної освіти №4 ""Попелюшка"" Костянтинівської міської ради Донецької області";Попелюшка
2606;"Заклад Дошкільної Освіти № 16 "" Барвінок"" Покровської міської ради"; Барвінок
2941;"Макіївський навчально - виховний комплекс № 35 ""Світанок"" Дошкільний навчальний заклад № 192";Світанок
2955;"Комунальний дошкільний навчальний заклад № 4 ""Ялинка""";Ялинка
2855;"Комунальний дошкільний навчальний заклад (ясла-садок) комбінованого типу №2 ""Рябінушка"" Харцизької міської ради";Рябінушка
3149;"Заклад дошкільної освіти (ясла-садок)комбінованого типу ""Капітошка"" управління освіти і науки Броварської міської ради Київської області";Капітошка
14866;"Заклад дошкільної освіти ""Калинонька"" м. Жидачів Львівської області";Калинонька
14867;"Дошкільний навчальний заклад комбінованого типу ""Барвінок"" №2 м. Жидачів Львівської області";Барвінок
14865;"Дошкільний навчальний заклад ""Теремок"" м. Жидачів Львівськоїобласті";Теремок
3859;"Білчанський навчально-виховний комплекс""Загальноосвітня школа І-ІІІ ст.- дитячий садок""";Загальноосвітня школа І-ІІІ ст.- дитячий садок
12067;"Малорублівський навчально-виховний комплекс ""Перлинка""(школа І ступеня-дошкільний начальний заклад)Котелевської районної ради";Перлинка
7596;"Супрунівський навчально - виховний комплекс дошкільний підрозділ ""Ягідка""";Ягідка
6214;"Гудзівський навчально-виховний комплекс """"Дошкільний навчальний заклад-загальноосвітня школа І-ІІ ступенів"" Звенигородської районної ради Черкаської області";
11231;"Курозванівський дошкільний навчальний заклад ""Капітошка"" Курозванівської сільської ради";Капітошка
6169;"Дошкільний навчальний заклад загального розвитку ""Берізка"" с. Погреби, Погребської сільської ради";Берізка
8445;"Дубищенський дошкільний заклад ""Калинонька""";Калинонька
3211;"КОМУНАЛЬНИЙ ЗАКЛАД ""ЛОГВИНСЬКИЙ НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС ""ЗААЛЬНООСВІТНЯ ШКОЛА І-ІІ СТУПЕНІВ - ДИТЯЧИЙ САДОК"" ВОЛОДАРСЬКОЇ РАЙОННОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ";ЛОГВИНСЬКИЙ НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС 
14621;"Комунальна заклад дошкільної освіти (ясла-садок) комбінованого типу № 1 ""Калинка"" Сокальської міської ради ЛЬвівської області";Калинка
4315;"Новокатеринівський дошкільний навчальний заклад ясла-садок ""Барвінок""";Барвінок
12506;"Лисецький Дошкільний навчальний заклад/дитячий садок / ""Сонечко"" /дитячий садок/";Сонечко
2820;"ясла-садок ""Лелека"" с.Краснопілля Сонцевської сільської ради";Лелека
2819;"Ясла-садок""Берізка""Сонцевської сільської ради Старобешівського району Донецької області";Берізка
8385;"Дошкільний навчальний заклад смт. Колки ""Берізка""";Берізка
9460;"Вакуленчуківський дошкільний навчальний заклад ""Берізка""";Берізка
10425;"Великотроянівський дошкільний навчальний заклад ""Барвінок""";Барвінок
609;"Комунальний дошкільний навчальний заклад ""Казка""";Казка
6353;"Лисянська дитяча дошкільна установа ясла-садок ""Малятко"" смт.Лисянка Лисянського району Черкаської області";Малятко
3865;"Дошкільний навчальний заклад ""Чебурашка"" загального розвитку для дітей від 2 до 6 років Комишівської сільської ради Ізмаїльського району";Чебурашка
13659;"Бджільнянський дошкільний навчальний заклад ""Сонечко"" с. Бджільна Теплицький район Вінницька область";Сонечко
13378;"Великокарабчіївський заклад дошкільної освіти (дитячий садок) ""Берізка"" Городоцької міської ради Городоцького району Хмельницької області";Берізка
12263;"заклад дошкільної освіти ""Дубочок""";Дубочок
7700;"Перелюбський дошкільний навчальний заклад ""Пролісок"" загального типу";Пролісок
14809;"Дошкільний навчальний заклад ""Краплинка""";Краплинка
3354;"Дошокільний навчальний заклад ( ясла-садок)№4""Чебурашка""Рокитнянської селищної ради Київської області";Чебурашка
11802;"Хмелівський дошкільни навчальний заклад ""Струмочок""";Струмочок
14736;"ЛипівськийДошкільний навчальний заклад (дитячий садок) ""Теремок""";Теремок
14656;"Кочерівський дошкільний навчальний заклад ""Світанок""";Світанок
2415;"Заклад дошкільної осівти ясла - садок № 8 "" Теремок"""; Теремок
2414;"Комунальний дошкільний навчальний заклад № 2 ""Дюймовочка""";Дюймовочка
2413;"Дошкільний навчальний заклад (ясла-садок) № 7 ""Дружні діти"" Волноваської міської ради м. Волноваха";Дружні діти
2412;"Комунальна установа дошкільний навчальний заклад № 47 ""Зірочка""";Зірочка
2683;"Новоазовський ясла - сад №6 ""Ластівка"" Новоазовської міської ради Новоазовського району Донецької області";Ластівка
2684;"Новоазовський ясла-сад № 4 ""Соловейко"" Новоазовської міської ради Новоазовського району Донецької області";Соловейко
2802;"Ясла-садок ""Топольок"" Комсомольської міської ради";Топольок
5700;"Дошкільний навчальний заклад ""Золотий ключик"" Комсомольської міської ради";Золотий ключик
2803;"ясла - сад ""Казка"" Комсомольської міської ради";Казка
10265;"Бахмацький дошкільний навчальний заклад (ясла - садок) №4 ""Теремок""";Теремок
14350;"Білокамінський дошкільний навчальний заклад ясла-сад ""Берізка""";Берізка
14043;"Копайгородський дошкільний навчальний заклад ""Берізка""";Берізка
15337;"Дошкільний навчальний заклад ""Зірочка"" с. Дружба Мурованокуриловецького району Вінницької області";Зірочка
15957;"Великобушинський дошкільний навчальний заклад ясла-сад ""Дзвіночок""";Дзвіночок
14891;"Дошкільний навчальний заклад "" Сонечко"""; Сонечко
15069;"Дошкільний навчальний заклад ""Колосок"" с. Флорине";Колосок
14381;"Глибочанський дошкільний навчальний заклад ""Струмок""";Струмок
14351;"Бритавський комунальний заклад дошкільної освіти ясла-сад ""Капітошка""";Капітошка
8496;"Дошкільний навчальний заклад ""Барвінок""";Барвінок
8416;"Навчально-виховний комплекс ""загальноосвітня школа І-ІІІ ступеня - дитячий садок"" село Гута";загальноосвітня школа І-ІІІ ступеня - дитячий садок
8419;"Опорний заклад освіти ""Навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступеня - дитячий садок"" с. Заброди""";Навчально-виховний комплекс 
2134;"Комунальний дошкільний навчальний заклад (дитячий садок ""Ластівка"" Лозівської селищної ради)";Ластівка
1941;"Першозванівський комунальний дошкільний навчальний заклад ясла-садок ""Оленка""";Оленка
2112;"Комунальний заклад ""Ясла - садок ""Снігуронька"" Калінінської селищної ради м.Свердловськ Луганської області";Ясла - садок 
666;"Комунальний дошкільний навчальний заклад (ясла- садок) ""Малятко"" Мирівської сільської ради";Малятко
781;"Дошкільний навчальний заклад ""Росинка""";Росинка
397;"Петрівський дитячий садок""Веселка"" загального розвитку комунальної власності";Веселка
333;"Комунальний заклад дошкільної освіти ""Гаврилівський ясла-садок ""Росинка"" загального розвитку Маломихайлівської сільської ради Дніпропетровської області комунальної форми власності";Гаврилівський ясла-садок 
2433;"ДНЗ № 63 ""Колосок"" с. Прохорівка (сезон)";Колосок
2542;"Віролюбівський дошкільний навчальний заклад №28""Півник""загального розвитку,що знаходиться в комунальній власності Віролюбівської сільської ради";Півник
2423;"Комунальний заклад дошкільної освіти (дитячий садок) № 37 ""Івонька"" загального типу с. Єгорівка Єгорівської сільської ради Волноваського району Донецької області";Івонька
2687;"Сєдовський ясла - сад ""Кораблик"" Сєдовської селищної ради Новоазовського району Донецької області";Кораблик
2769;"Новомиколаївський дошкільний навчальний заклад ""Сонечко"" Черкаської селищної ради Слов'янського району Донецької області";Сонечко
2806;"ясла-садок "" Берізка"" Новосвітської селищної ради смт. Новий Світ"; Берізка
2808;"ясла-садок ""Малятко"" Новосвітської селищної ради";Малятко
2807;"ясла-садок ""Ромашка"" Новосвітської селищної ради";Ромашка
2805;"ясла-садок ""Казка"" Старобешівської селищної ради";Казка
2804;"я/с ""Усмішка"" Старобешівської селищної раді";Усмішка
2693;"Павлопільський дитячий садок ""Малиш"" Павлопільської сільської ради Волноваського района Донецької області";Малиш
2883;"дитячий навчальний заклад №12 ""Казка""";Казка
2886;"Дитячий навчальний заклад № 1 "" Дюймовочка "" Дмитрівської сільської ради"; Дюймовочка 
2888;"Дошкільний навчальний заклад №19 ""Колосок"" Золотарівської сільскої ради";Колосок
2894;"Дошкільний навчальний заклад №10 ""Веселі зайчата"" Петропавлівської сільскої ради";Веселі зайчата
2885;"Дошкільний навчальний заклад №17 ""Червона гвоздика"" Садівської сільскої ради Шахтарського району";Червона гвоздика
2898;"Дошкільний навчальний заклад ""Сонечко"" №11 Степанівської сільської ради";Сонечко
2897;"Дошкільний навчальний заклад №2 ""Оленка"" Степанівської сільської ради";Оленка
2299;"Ясла/садок № 125 ""Берізка"" Гольмівської селищної ради";Берізка
8186;"Юрівський дошкільний навчальний заклад №35 ""Пролісок""";Пролісок
8969;"Вільський заклад дошкільної освіти ""Сонечко""";Сонечко
8974;"Троковицький заклад дошкільної освіти ""Веселка""";Веселка
9487;"Трощанський дошкільний навчальний заклад ""Сонечко""";Сонечко
9782;"Івницький дошкільний навчальний заклад ""Сонечко""";Сонечко
8924;"Красівський дошкільний навчальний заклад ""Казка""";Казка
9227;"Сербо-Слобідський дошкільний навчальний заклад ""Дюймовичка "" Сербо-Слобідської сільської ради Житомирської області";Дюймовичка 
9100;"Дошкільний навчальний заклад ""Рукавичка""";Рукавичка
9171;"Кам'янський заклад дошкільної освіти ""Золоте сонечко""Оліївської сільської ради Житомирського району Житомирської області";Золоте сонечко
940;"Миколаївський дошкільний навчальний заклад (ясла-садок) ""Оленятко"" Берестівської сільської ради";Оленятко
935;"Берестівський дошкільний навчальний заклад (ясла-садок) ""Ромашка"" 71130, с.Берестове, вул. Сисоєва,";Ромашка
1118;"Дошкільний навчальний заклад ""Казка"" Малотокмачанської сільської ради Оріхівського району Запорізької області";Казка
1094;"Комунальний дошкільний навчальний заклад ""Івушка"" Світлодолинської сільської ради Мелітопольського району Запорізької області";Івушка
1034;"Комунальний дошкільний навчальний заклад ясел-саду ""Пролісок"" Благовіщенської сільської ради Кам'янсько-Дніпровського району Запорізької області";Пролісок
1033;"Комунальний дошкільний навчальний заклад ясла-садок "" Дзвіночок "" Новодніпровської сільської ради загального типу"; Дзвіночок 
977;"Дошкільний навчальний заклад ""Маячок"" Михайлівської сільської ради.";Маячок
974;"Комунальний дошкільний навчальний заклад ""Дитячий садок""Ромашка"" Петро-Михайлівської сільської ради""";Дитячий садок
1143;"Новоспаський комунальний дошкільний навчальний заклад ""Берізка""";Берізка
1134;"Дошкільний навчальний заклад ясла - садок ""Золотий ключик"" Інженерненської сільської ради";Золотий ключик
1139;"КУ ""Воскресенський навчально-виховний комплекс ""спеціалізована школа І-ІІІ ступенів - дошкільний навчальний заклад"" Воскресенської сільської ради Пологівського району Запорізької області";Воскресенський навчально-виховний комплекс 
3252;"ДНЗ""Чебурашка"" с. Шубівка";Чебурашка
3246;"Дошкільний навчальний заклад ""Яблунька""";Яблунька
3360;"Дошкільний навчальний заклад ясла-садок ""Росинка"" Бушевської сільської ради Рокитнянського району Київської області";Росинка
3359;"Дошкільний навчальний заклад (ясла-сад) ""Веселка"" Насташівської сільської ради Роктнянського району Київської області";Веселка
3278;"Дошкільний навчальний заклад (ясла-садок) ""Вишенька"" Пашківської сільської ради";Вишенька
3291;"Дошкільний навчальний заклад загального розвитку ясла-сад ""Колосок"" Владиславської сільської ради Миронівського району Київської області";Колосок
3047;"Дошкільний навчальний заклад ""Малятко""";Малятко
3048;"Комунальна установа заклад дошкільної освіти (ясла-садок) ""Сніжинка""с.Фурси Фурсівської сільської ради Білоцерківського району Київської області";Сніжинка
10166;"Дошкільний навчальний заклад загального розвитку ""Лісова казка"" Процівської сільської ради Бориспільського району Київської області";Лісова казка
5881;"Дошкільний навчальний заклад (ясла-садок) ""Сонечко"" Калинівської селищної ради Броварського району Київської області";Сонечко
10428;"Кам'янобрідський дошкільний навчальний заклад ""Зірочка""";Зірочка
11800;"Оникіївський заклад дошкільної освіти ""Дюймовочка""";Дюймовочка
11713;"Апрелівський заклад дошкільної освіти (дитячий садок) ""Сонечко""";Сонечко
4264;"Анатолівській дошкільний навчальний заклад ""Ромашка""";Ромашка
4269;"Тронківський дошкільний навчальний заклад ""Веселка""";Веселка
4365;"Дошкільно - навчальний заклад №4 ""Золотий ключик""";Золотий ключик
3797;"вигодянский дошкільний навчальний заклад ясла-садок ""вишенка""";вишенка
3804;"Граденицький дошкільний навчальний заклад ясла-сад ""Ягідка"" Граденицькохї сільської ради Біляївського району Одеської області";Ягідка
3937;"Дошкільний навчальний заклад ""Радість""";Радість
5226;"Новогригорівський ясла-сад №6 ""Дзвіночок"" загального типу Новогригорівської сільської ради";Дзвіночок
13434;"Старосинявський дошкільний навчальний заклад № 2 (ясла-садок) загального розвитку ""Теремок"" Старосинявської селищної ради Старосинявського району Хмельницької області";Теремок
13438;"Гречанський дошкільний навчальний заклад (дитячий садок) загального розвитку ""Сонечко""";Сонечко
13440;"Олексіївський дошкільний навчальний заклад (дитячий садок) загального розвитку ""Капітошка"" Старосинявської селищної ради Старосинявського району Хмельницької області";Капітошка
13441;"Мисюрівський дошкільний навчальний заклад (дитячий садок) загального розвитку ""Веселка"" Старосинявської селищної ради Старосинявського району Хмельницької області";Веселка
13443;"Новосинявський дошкільний навчальний заклад (ясла-садок) загального розвитку ""Берізка"" Старосинявської селищної ради Старосинявського району Хмельницької області";Берізка
13555;"Сокиринецький дошкільний навчальний заклад ""Сонечко"" Чемеровецької селищної ради";Сонечко
12522;"Заміхівський дошкільний навчальний заклад ""Ластівка""";Ластівка
6343;"Заклад дошкільної освіти ""Росинка""";Росинка
14713;"Рудківський комунальний дошкільний навчальний заклад ""Калинонька"" Рудківської сільської ради Чернігівського району Чернігівської області";Калинонька
15146;"Смолянський заклад дошкільної освіти ""Дзвіночок"" Олишівської селищної ради";Дзвіночок
7736;"Ріпкинський комунальний дошкільний навчальний заклад (ясла-садок) №2 ""Колосок""";Колосок
6980;"Дошкільний навчальний заклад ""Ягідка"" Змітнівської сільської ради";Ягідка
6988;"Дошкільний навчальний заклад ""Сонечко""";Сонечко
839;"Заклад дошкільної освіти( ясла - садок) ""Сонечко"" Грушівської сільської ради Дніпропетровської області";Сонечко
545;"Комунальний заклад Дошкільний навчальний заклад ""Сонечко"" Мар'янівської сільської ради";Сонечко
2817;"Ясла-садок ""Родничок""Петрівської сільської ради Старобешівського району Донецької області";Родничок
2816;"Ясла-садок ""Веселка"" с. Петрівське, Старобешівського району, Донецької області";Веселка
2891;"Дошкільний навчальний заклад №5 ""Малятко""";Малятко
9433;"Буденецьий ДНЗ ""Берiка""";Берiка
15273;"Комунальний заклад ""Загальноосвітня школа-інтернат І-ІІІ ступенів - центр загальної і профільної освіти та комплексної реабілітації""Миколавської обласної ради";Загальноосвітня школа-інтернат І-ІІІ ступенів - центр загальної і профільної освіти та комплексної реабілітації
16579;"Комунальний заклад ""клеванська санаторна школа I-III ступенів"" Рівненської обласної ради";клеванська санаторна школа I-III ступенів
6989;"Дошкільний навчальний заклад ""Журавлик"" Гриціївської сільської ради Срібнянського району Чернігівської області";Журавлик
16435;"КЗ ""Черешенська спеціалізована школа-інтернат І-ІІІ ступенів з поглибленим вивченням окремих предметів та курсів"" Чернігівської обласної ради";Черешенська спеціалізована школа-інтернат І-ІІІ ступенів з поглибленим вивченням окремих предметів та курсів
16436;"КЗ""Яблунівська спеціалізована школа - інтернат І - ІІІ ступенів з поглибленим вивченням окремих предметів та курсів"" Чернігівської обласної ради";Яблунівська спеціалізована школа - інтернат І - ІІІ ступенів з поглибленим вивченням окремих предметів та курсів
16440;"Комунальний заклад ""Прилуцький навчально-реабілітаційний центр"" Чернігівської обласної державної адміністрації";Прилуцький навчально-реабілітаційний центр
16438;"Комунальний заклад ""Городнянський ліцей"" Чернігівської обласної ради";Городнянський ліцей
16439;"Комунальний заклад ""Сосницький навчально-реабілітаційний центр"" Чернігівської обласної ради";Сосницький навчально-реабілітаційний центр
3263;"Дошкільний навчальний заклад ""Липовецька веселка""";Липовецька веселка
2667;"Дошкільний навчальний заклад №34 ""Малятко"" комунальної форми власності загального розвитку Новоукраїнської сільської ради";Малятко
5640;"Дошкільний навчальний заклад (ясла-садок) №177 ""Дзвіночок"" Запорізької міської ради Запорізької області";Дзвіночок
1250;"Дошкільний навчальний заклад (ясла-садок) №15 ""Росинка"" комбінованого типу Ніжинської міської ради Чернігівської області";Росинка
3031;"Дошкільний навчальний заклад (ясла-садок) №4 ""Снігуронька"" Білоцерківської міської ради Київської області";Снігуронька
3081;"Дошкільний навчальний заклад (дитячий садок) ""Сонечко"" Бориспільської міської ради Київської області";Сонечко
3145;"Дошкільний навчальний заклад ясла-садок компенсуючого типу ""Барвінок""";Барвінок
3889;"Дошкільний навчальний заклад (ясла-садок) комбінованого типу №3 ""Казка"" Чорноморської міської ради Одеської області";Казка
531;"Комунальний дошкільний навчальний заклад (ясла-садок) №10 ""Джерельце""";Джерельце
2821;"Дитячий садок ""Сонечко"" Стильської сільської ради Старобешівського району Донецької області";Сонечко
2814;"Новокатериновское дошкольное учебное заведение ""Квіточка""";Квіточка
2813;"Ясла-садок ""Барвінок"" Новозар’ївської сільської ради Старобешівського району Донецької області";Барвінок
2812;"Ясла-садок ""Лелека"" Новозар’ївської сільської ради Старобешівського району Донецької області";Лелека
2809;"Ясла-садок ""Світлячок"" Комунарівської сільської ради Старобешівського району Донецької області";Світлячок
2810;"ясла-садок ""Лада"" с.Комунарівка, Комунарівської сільськоі ради";Лада
2815;"Ясла-садок ""Колосок"" Осиківської сільської ради Старобешівського району Донецької області";Колосок
2895;"ясла - садок № 3 ""Сонечко""";Сонечко
2818;"ясла-садок ""Золотий півник"" с. Роздольне Роздольненської сільської ради";Золотий півник
2811;"ясла-садок ""Веселка"" Мар'янівської сільської ради";Веселка
6708;"Дошкільний навчальний заклад (ясла-садок) комбінованого типу ""Теремочок"" Вишневої міської ради";Теремочок
7936;"Житомирський навчально-виховний комплекс № 65 ""Родина""";Родина
6722;"Заклад дошкільної освіти (ясла-садок) компенсуючого типу ""Ромашка"" Вишневої міської ради Києво-Святошинського району Київської області";Ромашка
10102;"Новгородківський дитячий садок ТОВ ""Прогрес"" ""Сонечко""";Прогрес
3938;"Гвардійський ДНЗ ""Сонечко""";Сонечко
2801;"дитячий садок ""Оленка"" с.Кумачове Кумачівської сільської ради";Оленка
13797;"Фасівський заклад дошкільної освіти ""Бджілка""";Бджілка
13798;"Небізький заклад доошкільної освіти ""Журавлик""";Журавлик
9077;"Стародорогинський дошкільний навчальний заклад ""Сонечко"" Народицького району Житомирської області";Сонечко
9076;"Яжберенський дошкільний навчальний заклад ""Ромашка""";Ромашка
14189;"Комунальний заклад ""Вільхуватський ліцей Великобурлуцької районної ради Харківської області""";Вільхуватський ліцей Великобурлуцької районної ради Харківської області
14465;"Товариство з обмеженою відповідальністю Центр корекції та розвитку ""Сіалія""";Сіалія
5816;"Заклад дошкільної освіти ""Теремок"" села Городище Цуманської селищної ради Волинської області";Теремок
5891;"Дошкільний навчальний заклад (ясла-садок) ""Берізка"" в/ч Семиполки, Калитянська ОТГ";Берізка
16453;"Дошкільний навчальний заклад загального розвитку дитячий садок ""Колобок"" в/ч А-4559 смт. Оржів Рівненського району Рівненської області";Колобок
15087;"Дошкільний навчальний заклад ""Зірочка"" військової частини А1358";Зірочка
6870;"Дружбинський дошкільний навчальний заклад ""Антошка""в/ч 1479 Ічнянського району Чернігівської області";Антошка
9690;"14 гарнізонний будинок офіцерів дошкільний навчальний заклад ""Ювілейний""";Ювілейний
9697;"Вепринський заклад дошкільної освіти ""Сонечко""";Сонечко
6769;"Великоговилівський дитячий садок ""Барвінок"" загального розвитку";Барвінок
1596;"Дошкільний навчальний заклад ""Казка""";Казка
2300;"Дошкільний навчальний заклад № 127""Вишенька"" Горлівської міської ради Донецької області";Вишенька
2951;"Макіївський Навчально-виховний комплекс №102 ""Джерело"" дошкільний навальний заклад №87";Джерело
1957;"Комунальний заклад "" Навчально-виховний комплекс школа дитячий садок ""Журавлик"""; Навчально-виховний комплекс школа дитячий садок 
9208;"Великоцвілянський дошкільно навчальний заклад ""Школярик""";Школярик
9591;"Новоград-Волинський дошкільний навчальний заклад №4 ""Сонечко""";Сонечко
15252;"Навчально-виховний комплекс ""Школа АІСТ"": Центр розвитку дитини - загальноосвітня школа І-ІІІ ступенів""";Школа АІСТ
11348;"Барський дошкільний навчальний заклад №1 ""Берізка""";Берізка
11352;"Барський дошкільний навчальний заклад №8 ""Дружба""";Дружба
2194;"Комунальний дошкільний навчальний заклад (ясла- садок) загального типу № 13 ""Казка""";Казка
2613;"ПрАТ ""ШУ""Покровське "" Дошкільний навчальний заклад № 51 ""Золота рибка""";ШУ
2610;"Дошкільний навчальний заклад № 55 ""Дружний"" ПрАТ ""ШУ ""Покровське""";Дружний
2605;"ПрАТ ""ШУ""Покровське"" Дошкільний навчальний заклад №30 ""Голубок""";ШУ
14993;"дошкільний підрозділ КЗ ""ХСНВК ім. В.Г. Короленка"" ХОР";ХСНВК ім. В.Г. Короленка
13657;"Комунальний заклад ""Харківський спеціальний навчально-виховний комплекс"" Харківської обласної ради";Харківський спеціальний навчально-виховний комплекс
13675;"Комунальний заклад ""Зеленогайська спеціальна школа"" Харківської обласної ради";Зеленогайська спеціальна школа
4771;"Дошкільний навчальний заклад (ясла-садок) №87 ""Дельфін"" Черкаської міської ради";Дельфін
4761;"Дошкільний навчальний заклад (ясла-садок) №72 ""Струмочок"" Черкаської міської ради";Струмочок
7042;"Чернігівський дошкільний навчальний заклад №24 ""Дивоцвіт"" центр розвитку дитини,Чернігівської міської ради Чернігівської області";Дивоцвіт
10991;"Дошкільний навчальний заклад №329 Державного підприємства ""Антонов""";Антонов
10910;"Дошкільний навчальний заклад № 266 ДП ""АНТОНОВ""";АНТОНОВ
16674;"Дошкільний навчальний заклад № 736 ДП ""Антонов""";Антонов
5691;"Дошкільний навчальний заклад (ясла-садок) №133 ""Струмочок"" ПАТ ""МОТОР СІЧ""";Струмочок
5693;"Дошкільний навчальний заклад (ясла-садок) №241 (Державного підприємства ""Івченко-Прогрес"")";Івченко-Прогрес
16266;"Спеціалізована школа дитсадок І ступення з поглибленим вивчення іноземних мов ""Лісова казка"" Святошинської районної в місті Києві державної адміністрації";Лісова казка
