;university_name;Назва
5208;"Комунальний заклад ""Князівський дитячий садок ""Зернятко""";Князівський дитячий садок 
5194;"Комунальна організація (установа, заклад) Верхньорогачицький ясла-садок ""Берізка"" №1";Берізка
5504;"Брилівський заклад дошкільної освіти ясла-садок ""Берегиня"" Виноградівської сільської ради Олешківського району Херсонської області";Берегиня
5409;"Комунальний заклад ясла - садок ""Сонечко"" с.Антонівка Скадовського району Херсонської області";Сонечко
5416;"Тарасівський ясла-садок ""Сонечко"" загального розвитку Скадовського району Херсонської області";Сонечко
5406;"Заклад дошкільної освіти (ясла-садок) № 5 ""Червона Шапочка"" Скадовської міської ради Скадовського району Херсонської області";Червона Шапочка
5407;"Комунальний заклад ясла-садок №6 ""Теремок""";Теремок
5405;"ЗДО(ясла-садок) комбінованого типу № 4 ""Чебурашка"" Скадовської міської ради Скадовського району Херсонської області";Чебурашка
5408;"Комунальний заклад ясла-садок №7 ""Казка""";Казка
5404;"Скадовський комунальний заклад ясла-садок № 3 ""Дзвіночок""";Дзвіночок
5417;"Заклад дошкільної освіти ""Малятко"" Володимирівської сільської ради";Малятко
5411;"Комунальний заклад ясла-садок ""Сонечко"" смт.Лазурнне";Сонечко
5516;"Чаплинський ясла-садок №1 ""Вишенька""";Вишенька
5233;"Комунальний заклад Петрівський дошкільний навчальний заклад дитячий садок ""Чебурашка"" Петрівської сільської ради Херсонської області";Чебурашка
5237;"Рівненський дошкільний навчальний заклад №5 ""Веселка"" Рівненської сільської ради";Веселка
5241;"Фрунзенський ясла-садок №11 ""Світлячок"" Генічеської районної ради Херсонської області";Світлячок
5222;"Партизанський дошкільний навчальний заклад №7 ""Росинка""";Росинка
5217;"Генічеський ясла-садок №3 ""Казка"" комбінованого типу Генічеської районної ради Херсонської області";Казка
5218;"Генічеський ясла-садок №14 ""Колосок"" Генічеської районної ради Херсонської області";Колосок
5221;"Новоолексіївський ясла-садок №20 ""Джерельце"" Новоолексіївської селищної ради";Джерельце
5245;"Щорсівський ясла-сад ""Надія"" №12 Генічеської районої ради Херсонської області";Надія
5231;"Озерянський дитячий садок №18 ""Дюймовочка"" Озерянської сільської ради";Дюймовочка
5234;"Плавський дитячий садок №13 ""Білосніжка"" Плавської сільскої ради";Білосніжка
5242;"Заклад дошкільної освіти ""Дитячий садок ""Вишеньки"" Генічеської районної ради Херсонської області";Дитячий садок 
5219;"Генічеський ясла - садок №17 ""Теремок"" Генічеської районної ради";Теремок
5517;"Чаплинський дитячий дошкільний заклад №3 ""Струмочок""";Струмочок
5519;"Долинський ясла-садок ""Яблунька"" загального типу Хрестівської сільської ради Херсонської області";Яблунька
5142;"Правдинський ясла-садок ""Ромашка""";Ромашка
5216;"Дошкільний навчальний заклад ясла-садок ""Червона шапочка""";Червона шапочка
5355;"Степненський ДНЗ ""Сонечко""";Сонечко
5356;"Дошкільний навчальний заклад ""Зірочка""";Зірочка
5349;"Першопокровський заклад дошкільної освіти ""Дзвіночок""";Дзвіночок
14026;"ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД (ЯСЛА-САДОК) ""ВЕСЕЛОЧКА"" ПРИ ВІЙСЬКОВІЙ ЧАСТИНІ А 0501";ВЕСЕЛОЧКА
3840;"Комунальний дошкільний навчальний заклад комбінованого типу Комунальний дошкільний навчальний заклад комбінованого типу ясла – садок № 12 ""Колокольчик"" Ізмаїльської міської ради Одеської області";Колокольчик
3886;"Дошкільний навчальний заклад (ясла - садок) № 21 ""Журавлик"" Чорноморської міської ради Одеської області";Журавлик
3850;"Комунальний дошкільний навчальний заклад комбінованого типу ясла-садок №33 ""Теремок"" Ізмаїльської міської ради Одеської області";Теремок
3844;"Комунальний дошкільний навчальний заклад комбінованого типу ясла-садок №23 ""Веселка"" Ізмаїльської міської ради Одеської області";Веселка
12612;"Одеський спеціальний дошкільний навчальний заклад ""Ясла-садок""№ 248 компенсуючого типу Одеської міської ради Одеської області";Ясла-садок
12632;"Одеський дошкільний навчальний заклад ""Ясла-садок"" № 222 Одеської міської ради Одеської області";Ясла-садок
4023;"Стрюківський дошкільний навчальний заклад (ясла-садок) №3 ""Ромашка""";Ромашка
9456;"Підзахаричівський НВК""Перлина Гуцульщини""";Перлина Гуцульщини
8454;"Заклад дошкільної освіти (ясла-садок) ""Казка"" села Переспа";Казка
8452;"Дошкільний навчальний заклад ""Сонечко"" с.Навіз загального розвитку";Сонечко
8451;"Дошкільний навчальний заклад ""Казка"" с. Мильськ";Казка
8460;"Дошкільний навчальний заклад села Щурин ""Казка""";Казка
5801;"НВК ""Загальноосвітня школа І-ІІІ ступенів - ДНЗ"" села Видричі";Загальноосвітня школа І-ІІІ ступенів - ДНЗ
5781;"Камінь-Каширський дошкільний навчальний заклад №2 ""Дзвіночок""";Дзвіночок
5782;"Камінь-Каширський дошкільний навчальний заклад №3 ""КАЗКА""";КАЗКА
5783;"Дошкільний навчальний заклад №4 ""Світлячок"" м. Каменя-Каширського";Світлячок
5784;"Броницький дошкільний навчальний заклад ""Малятко""";Малятко
5785;"Видертський дошкільний навчальний заклад ""Росинка""";Росинка
5786;"Воєгощанський дошкільний навчальний заклад ""Казка""";Казка
5787;"Дошкільний навчальний заклад ""Сонечко"" с. Ворокомле";Сонечко
5788;"Грудківський дошкільний навчальний заклад ""Сонечко""";Сонечко
5789;"Гуто-Боровенський ДНЗ ""Сонечко"" с. Гута-Боровенська";Сонечко
5790;"Дошкільний навчальний заклад ""Усмішка""с.Карасин";Усмішка
5791;"Нуйнівський дошкільний навчальний заклад ""Льонок""";Льонок
5793;"Дошкільний навчальний заклад ""Калинка"" села Осівці";Калинка
5794;"Дошкільний навчальний заклад села Підцир'я ""Пролісок""";Пролісок
5796;"Пнівненський дошкільний навчальний заклад ""Пролісок""";Пролісок
5797;"Раково-Ліський дошкільний навчальний заклад ""Колосок""";Колосок
5795;"Полицівський дошкільний навчальний заклад ""Казка""";Казка
